Planilha Ofícios Enviados;;;;;;;
;;;;;;;
Nº do Ofício;Destinatário;Solicitação;Status;Previsão;;;
293;Gilmar Cabral;Comunicar a interrupção da contribuição do Partido Mobiliza;;;;;
294;Sec Saúde;vistoria técnica R Monte Alegre;feita vistoria;;;;
295;Sec Serviços Urbanos;limpeza Rua Edson Pereira Filho Sewa;;;;;
296;Sec Serviços Urbanos;limpeza Praça Juca Domingos;;;;;
297;Sec Infraestrutura;reparo bueiro Rua Cascalho Rico com a Rua Indianápolis Bairro Joquei Clube;já procedeu com acionamento da empresa responsável p q as devidas providências de reparo sejam tomadas com brevidade.;;;;
298;Zoonoses;fumacê R 11 B Independência;;;;;
299;Sec Planejamento;retirada da Emenda Impositiva Mutirão;;;;;
300;Câmara Municipal de Araguari;disponibilização da bandeira oficial da câmara;;;;;
301;Sec Serviços Urbanos;limpeza R Waldir Barreto de Lima B Portal de Fátima;;;;;
302;Sec Planejamento;Retirada da Emenda Impositiva Sindicato Produtores Rurais (não foi entregue);;;;;
303;Sec Serviços Urbanos;Notificação Terreno R Maurilio Pirette B Independência;;;;;
304;Câmara Municipal de Araguari;Ponto RH;;;;;
305;Sec Trânsito;vagas de estacionamento p gestantes;;;;;
306;Promotoria de Justiça;Dr Alam Baena;;;;;
307;Promotoria de Justiça;Dr Alam Baena;;;;;
308;Sec Serviços Urbanos;Limpeza Praça Carlos José de Moura, Bairro Sibipiruna;;;;;
309;Gilmar Cabral;Retirada de contribuição do Partido dos vereadores Isabel, Casção e PH;;;;;
310;Sec Serviços Urbanos;notificação Avenida Belo Horizonte com Pires do Rio B Santiago;;;;;
311;SAE;vazamento de água R Jordão 315 B Santiago;;;;;
312;Nassim Gerra;Confecção Diploma de Moção de Aplausos;;;;;
313;Sec Serviços Urbanos;notificação R Guará B Fátima;;;;;
314;Sec Serviços Urbanos;notificação casa R Floriano Peixoto B Santa Terezinha;;;;;
315;Arroz Vasconcelos;empréstimo carreta da alegria p Casa do Caminho;;;;;
